,Resultado (V/L/E)
Rusia vs Arabia,E
Egipto vs Uruguay,V
Marruecos vs Iran,V
Portugal vs Espana,V
Francia vs Australia,L
Argentina vs Islandia,E
Peru vs Dianamarca,L
Croacia vs Nigeria,L
Costa Rica vs Serbia,E
Alemania vs Mexico,L
Brasil vs Suiza,L
Suecia vs Rep Corea,L
Belgica vs Panama,L
Tunez vs Inglaterra,V
Colombia vs Japon,L
Polonia vs Senegal,L
Rusia vs Egipto,E
Portugal vs Marruecos,E
Uruguay vs Arabia,L
Iran vs Espana,V
Dinamarca vs Australia,V
Francia vs Peru,L
Argentina vs Croacia,L
Brasil vs Costa Rica,L
Nigeria vs Islandia,E
Serbia vs Suiza,E
Belgica vs Tunez,L
Rep Corea vs Mexico,E
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,L
Polonia vs Colombia,E
Uruguay vs Rusia,L
Arabia vs Egipto,V
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,E
Dinamarca vs Francia,V
Nigeria vs Argentina,V
Islandia vs Croacia,V
Rep Corea vs Alemania,V
Mexico vs Suecia,E
Serbia vs Brasil,V
Suiza vs Costa Rica,E
Japon vs Polonia,V
Senegal vs Colombia,V
Panama vs Tunez,E
Inglaterra vs Belgica,L
